sequence,company,city,state,acquirer,date_str,date,commodities_handled,note
N028,Jamestown Ice Cream Co. Inc.,Jamestown,New York,N.D.P.C.,"""9/2/25""",1925-09-02,Ice Cream; Other Milk Products,
N029,Nashville Pure Milk Co.,Nashville,Tennessee,N.D.P.C.,"""9/29/25""",1925-09-29,Milk; Cream; Butter; Other Milk Products,
N030,Albert Bonomo,Brooklyn,New York,"Edward E. Rieck Co. Inc, (operated under N.D.P.C.)","""9/30/25""",1925-09-30,Ice Cream,
N031,Supplee-Wills-Jones Milk Co.,Philadelphia,Pennsylvania,N.D.P.C.,"""11/6/25""",1925-11-06,Milk; Cream; Ice Cream; Other Milk Products,
N032,Newark Milk Company,Newark,New Jersey,N.D.P.C.,"""11/6/25""",1925-11-06,Milk; Cheese; Condensed Milk,
N033,Sheffield Farms Co. Inc.,New York,New York,N.D.P.C.,"""12/1/25""",1925-12-01,Milk; Cream; Butter; Cheese; Other Milk Products,
N034,Sheffield Condensed Milk Co. Inc.,New York,New York,N.D.P.C.,"""12/1/25""",1925-12-01,Evaporated Milk; Condensed Milk,
N035,Sheffield By-Products Co. Inc.,New York,New York,N.D.P.C.,"""12/1/25""",1925-12-01,Casein; Milk Sugar; Other Milk Products,
N036,Union Ice Cream Co.,Nashville,Tennessee,N.D.P.C.,"""12/10/25""",1925-12-10,Ice Cream,
N037,The Franklin Ice Cream Co.,Kansas City,Missouri,N.D.P.C.,"""12/11/25""",1925-12-11,Ice Cream; Cream; Condensed Milk,
N038,Harding Cream Co.,Omaha,Nebraska,N.D.P.C.,"""12/18/25""",1925-12-18,Butter; Ice Cream; Other Milk Products,
N039,The Breyer Corp.,Philadelphia,Pennsylvania,N.D.P.C.,"""12/28/25""",1925-12-28,Holding Co.,
N040,Breyer Ice Cream Co.,Philadelphia,Pennsylvania,N.D.P.C.,"""12/28/25""",1925-12-28,Ice Cream; Milk; Cream; Butter,
N041,Breyer Ice Cream Co. Inc.,Long Island City,New York,N.D.P.C.,"""12/28/25""",1925-12-28,Ice Cream,
N042,Crescent Ice Cream Co.,Rockford,Illinois,Allen Ice Cream Co.,"""12/28/25""",1925-12-28,Ice Cream,
N043,Titusville Butter A Egg Co.,Titusville,Pennsylvania,Moore Bros. Co.,"""12/28/25""",1925-12-28,Butter; Eggs,
N044,Consolidated Buttermilk Corp.,Chicago,Illinois,N.D.P.C.,"""1/20/26""",1926-01-20,Holding Company,
N045,Consolidated Products Co.,Chicago,Illinois,N.D.P.C.,"""1/20/26""",1926-01-20,Semi-solid Buttermilk,
N046,Canadian United Products Co. Ltd.,(Winnipeg/Montreal?),(_Canada?),N.D.P.C.,"""1/20/26""",1926-01-20,Semi-solid Buttermilk,"Subsidary company of Consolidated Products Co., Winnipeg Evening Tribune, 1926-May-13 p.19 https://digitalcollections.lib.umanitoba.ca/islandora/object/uofm%3A1636331 https://archive.org/details/sim_financial-times_1926-06-04_15_1/page/n15/mode/1up?q=%22A.+P.+Hunt%22+%22Consolidated+Products%22 https://cdnc.ucr.edu/?a=d&d=OT19261110.1.27 (redemption of Consolidated Products Co)"
N047,Laher Ice Cream Co.,Bedford,Pennsylvania,The W. E. Hoffman Co.,"""3/26/26""",1926-03-26,Ice Cream; Other Milk Products,
N048,Luick Ice Cream Co.,Milwaukee,Wisconsin,N.D.P.C.,"""8/13/26""",1926-08-13,Ice Cream,
N049,Oak Brand Ice Cream Co.,Rockford,Illinois,Allen Ice Cream Co.,"""12/31/26""",1926-12-31,Ice Cream,
N050,Collis Products Co.,Clinton,Pennsylvania,N.D.P.C.,"""5/25/27""",1927-05-25,Dry Buttermilk,
N051,"Highland Dairies, Inc.",Bryn Mawr,Pennsylvania,N.D.P.C.,"""6/27/27""",1927-06-27,Milk,
N052,Trapp Brothers Dairy Co.,Milwaukee,Wisconsin,N.D.P.C.,"""10/5/27""",1927-10-05,Milk; Cream; Other Milk Products,
N053,Real Ice Cream Company,Omaha,Nebraska,Harding Cream Co.,"""12/19/27""",1927-12-19,Ice Cream,
N054,"Breakstone Brothers, Inc.",New York,New York,N.D.P.C.,"""1/12/28""",1928-01-12,Cheese; Butter; Cream; Other Milk Products,
N055,Palisade Cheese Company,New York,New York,N.D.P.C.,"""1/12/28""",1928-01-12,Cheese; Other Milk Products,
N056,St. Louis Dairy Company,(St. Louis?),(Missouri?),N.D.P.C.,"""2/28/28""",1928-02-28,Milk; Cream; Butter; Ice Cream; Other Milk Products,St. Louis Post-Dispatch  1928-04-07: Vol 80 Iss 213
N057,South Side Dairy Prods. Co.,Oil City,Pennsylvania,Moore Bros. Co.,"""3/21/28""",1928-03-21,Milk,
N058,Jersey Ice Cream Company,Columbus,Nebraska,Harding Cream Co.,"""3/23/28""",1928-03-23,Ice Cream,
N059,The Telling-Belle-Vernon Co.,Cleveland,Ohio,N.D.P.C.,"""4/26/28""",1928-04-26,Milk; Cream; Ice Cream; Other Milk Products,
N060,The Baker-Tabor Ice Cr.Co.,Cleveland,Ohio,N.D.P.C.,"""4/26/28""",1928-04-26,Ice Cream,
N061,The Peerless Ice Cr. Company,Cleveland,Ohio,N.D.P.C.,"""4/26/28""",1928-04-26,Ice Cream,
N062,The Tahor Ice Cream Company,Cleveland,Ohio,N.D.P.C.,"""4/26/28""",1928-04-26,Ice Cream,
N063,The Belle-Vernon Mapes Co.,Cleveland,Ohio,N.D.P.C.,"""4/26/28""",1928-04-26,Milk; Cream; Other Milk Products,
N064,The Telling Brothers Co.,Cleveland,Ohio,N.D.P.C.,"""4/26/28""",1928-04-26,Milk; Cream; Other Milk Products,
N065,Roberts Dairy Co.,Buffalo,New York,N.D.P.C.,"""4/27/28""",1928-04-27,Ice Cream,
N066,The Tri-State Butter Company,Cincinnati,Ohio,N.D.P.C.,"""5/12/28""",1928-05-12,Butter; Buttermilk,
N067,The Chas. H. Hess Co.,Cincinnati,Ohio,N.D.P.C.,"""5/12/28""",1928-05-12,Butter; Buttermilk,
